Company   , Industry     , Laid_Off, Date            , Location     , Revenue_Million
TechNova  , Healthcare   , 173     , 16-02-2024      , New York     , None
OmegaCorp , IT           , twenty  , 24-01-2024      , NYC          , None
DataWorks , Healthcare   , None    , 26-02-2024      , San Francisco, None
OmegaCorp , IT           , thirty  , 05-01-2024      , San Francisco, None
DataWorks , Healthcare   , None    , 16-04-2024      , Austin       , 111
NextGen   , IT           , thirty  , 15-02-2024      , Austin       , None
Gamma LLC , IT           , twenty  , 25-05-2024      , Boston       , None
OmegaCorp , Healthcare   , None    , March 04 2024   , San Fran     , 230.7
Gamma LLC , IT           , 172     , 25-05-2024      , NYC          , None
CloudNine , IT           , twenty  , 25-02-2024      , Chicago      , None
Alpha Inc., Finance      , 12      , 22-04-2024      , San Fran     , None
BetaSoft  , Finance      , twenty  , 06-01-2024      , San Fran     , 387.7
TechNova  , IT           , 76      , April 30 2024   , Seattle      , 120.3
NextGen   , Retail       , 50      , April 05 2024   , Austin       , None
DataWorks , Healthcare   , None    , 01-05-2024      , Seattle      , None
NextGen   , Finance      , None    , 18-04-2024      , Chicago      , None
Gamma LLC , Retail       , thirty  , 03-02-2024      , New York     , None
FutureTek , Finance      , thirty  , 29-03-2024      , SF           , None
Gamma LLC , IT           , 116     , February 07 2024, new york     , None
TechNova  , Manufacturing, None    , 21-02-2024      , San Francisco, None
NextGen   , Healthcare   , None    , 01-05-2024      , Boston       , None
OmegaCorp , Retail       , 86      , 10-02-2024      , Austin       , None
DataWorks , Finance      , 27      , February 14 2024, Austin       , None
BetaSoft  , Manufacturing, 48      , 30-03-2024      , SF           , None
BetaSoft  , Retail       , twenty  , 13-02-2024      , SF           , None
CloudNine , Finance      , thirty  , 09-03-2024      , Boston       , 171.4
CloudNine , Healthcare   , None    , 19-01-2024      , Chicago      , 310.5
CloudNine , Retail       , None    , 12-01-2024      , Seattle      , 74.6
Alpha Inc., Healthcare   , twenty  , 03-04-2024      , NYC          , None
InnoSoft  , Finance      , None    , April 17 2024   , Chicago      , None
Gamma LLC , IT           , None    , 12-05-2024      , Chicago      , None
OmegaCorp , Healthcare   , thirty  , March 11 2024   , New York     , None
NextGen   , Manufacturing, None    , 11-02-2024      , SF           , None
Gamma LLC , Manufacturing, twenty  , 2024.01.12      , Austin       , None
NextGen   , Manufacturing, None    , 20-02-2024      , New York     , None
OmegaCorp , IT           , thirty  , 2024.04.04      , Seattle      , None
OmegaCorp , Healthcare   , None    , 06-05-2024      , Austin       , None
FutureTek , IT           , 148     , 15-05-2024      , Boston       , None
DataWorks , IT           , None    , 2024.01.01      , Austin       , None
InnoSoft  , Finance      , None    , 29-04-2024      , Chicago      , None
InnoSoft  , Healthcare   , None    , January 30 2024 , NYC          , None
TechNova  , IT           , None    , 2024.02.16      , SF           , None
Gamma LLC , Finance      , 66      , 2024.04.29      , new york     , None
DataWorks , IT           , None    , 20-05-2024      , Austin       , None
TechNova  , Healthcare   , None    , 2024.05.13      , San Francisco, 362
NextGen   , Retail       , 96      , 10-04-2024      , Seattle      , 112.7
NextGen   , Healthcare   , 37      , 2024.04.21      , San Fran     , None
NextGen   , Manufacturing, None    , 19-03-2024      , SF           , 43.2
NextGen   , Manufacturing, None    , February 16 2024, San Francisco, 173.6
NextGen   , Retail       , thirty  , 30-04-2024      , new york     , 63.7
OmegaCorp , Healthcare   , thirty  , 08-01-2024      , San Francisco, None
InnoSoft  , IT           , twenty  , May 03 2024     , New York     , None
BetaSoft  , Manufacturing, 75      , February 16 2024, new york     , None
DataWorks , Healthcare   , None    , 11-02-2024      , San Fran     , None
TechNova  , IT           , None    , 16-05-2024      , Austin       , 75.4
Alpha Inc., Healthcare   , None    , 21-03-2024      , Boston       , None
Alpha Inc., Finance      , thirty  , 01-04-2024      , Seattle      , None
NextGen   , Manufacturing, 190     , 11-04-2024      , Austin       , None
BetaSoft  , Healthcare   , thirty  , 24-01-2024      , SF           , None
TechNova  , Manufacturing, thirty  , February 20 2024, Seattle      , None
InnoSoft  , Retail       , 122     , 16-03-2024      , NYC          , 196.4
DataWorks , Finance      , None    , 01-04-2024      , Chicago      , None
Alpha Inc., IT           , thirty  , 06-05-2024      , SF           , None
OmegaCorp , Finance      , twenty  , 11-05-2024      , San Fran     , 77.4
OmegaCorp , Manufacturing, twenty  , 19-04-2024      , Austin       , None
InnoSoft  , Retail       , twenty  , 2024.03.16      , SF           , None
NextGen   , Healthcare   , None    , 29-05-2024      , San Fran     , None
TechNova  , Manufacturing, 30      , 2024.01.06      , San Fran     , None
DataWorks , Healthcare   , thirty  , February 06 2024, San Fran     , 390.5
CloudNine , IT           , None    , February 25 2024, Boston       , None
OmegaCorp , IT           , 83      , 27-05-2024      , Austin       , None
InnoSoft  , Finance      , twenty  , 09-05-2024      , San Francisco, 299.4
InnoSoft  , IT           , None    , January 28 2024 , Boston       , None
Alpha Inc., Finance      , thirty  , 12-01-2024      , San Francisco, None
InnoSoft  , Manufacturing, 167     , 24-05-2024      , Boston       , None
BetaSoft  , Manufacturing, 89      , 2024.01.12      , Seattle      , 80.6
Gamma LLC , Retail       , None    , 18-02-2024      , Chicago      , 254.1
TechNova  , Manufacturing, None    , May 26 2024     , New York     , None
Gamma LLC , Finance      , thirty  , May 21 2024     , San Francisco, None
DataWorks , IT           , twenty  , 21-03-2024      , Austin       , 40.3
NextGen   , Manufacturing, 74      , 07-04-2024      , San Francisco, 342.4
InnoSoft  , IT           , None    , 26-03-2024      , Austin       , None
InnoSoft  , IT           , twenty  , March 15 2024   , Chicago      , None
NextGen   , IT           , 93      , 2024.03.07      , new york     , 25.2
NextGen   , IT           , 12      , 26-01-2024      , San Fran     , 358.1
